-....-..--..--..-....- -izmusa
..-...-...-.-...-...-.. ellennére
..-...-...-....--....-...-...-.. ellenszerére
..-...-...-...-.. ellené
..-...-...-...-.. ellené
..-...-...-...-...-.. ellenére
..-...-...-...-...-.. ellenére
..-...-...-.. elleti
..-..--.-....-.--..-.. elmebetegre
..-..-.....-..-.. elnevel
..-..-...-..--..-...-..-.. elnéznéd
..-...-.----.-...-.. elrontsd
..-........-.. elsieti
..-.....---.....-.. elsõsre
..-..-.-..-.. eltedd
..-..-..-.. eltel
..-..-..-..-.. eltelne
..-..-..-..-..-.. eltelté
..-..-.-.-..-.. eltenned
..-..-..-...-..-..-.. elterelned
..-..-..-..-..-.. eltétel
..-..----.-.----..-.. eltököl
..-.....-..-..-.....-.. elveretheti
..-.....-....--....-.....-.. elveszítheti
..-.....-.-.-.....-.. elvetetheti
..-.....-.-.....-.. elvetheti
..-.....-.. elvi
..-.....-..-..-.....-.. elvétheti
..-....-.. elé
..-....-.. elé
..-....-..-....-.. elébed
..-....-..-...-..-....-.. elítéltesd
..-..---..-.. elöl
..-..---..--..---..-.. elõadóid
..-..---..--..---..-.. elõadóé
..-..---.-......-.---..-.. elõdeirõl
..-..---.-...-.---..-.. elõdrõl
..-..---.......---..-.. elõhúzd
..-..---..---..-.. elõjel
..-..---..-.. elõl
..-..---..-.. elõre
..-..---..-.. elõre
..-..---..-.. elõre
..-..---..-..-..---..-.. elõredõl
..-..---.-..-...-..-.---..-.. elõtérrõl
..-..---...-..-..-..-...---..-.. elõételbõl
..-..---...-..-...-...-...-..-...---..-.. elõítéleteidbõl
.--. eme
.--..-...-..--. emeletig
.--.-....-.--. említette
.--.--....-....--.--. empírián
.--..--. emun
.-----. emõ
.-.--..-....-..--.-. engedelmen
.-.-. ente
.-.-.--.-.-. enyec
.-.--....--.-. enzimen
..--.. epe
..--....--.. epeuti
..--..-..--.. eprez
..-.. ere
..-..-.. ered
..-..-.. ered
..-..-...-..-.. eredeté
..-..-..-.. eredne
..-..-..-..-.. eredned
..-..--..-.. eregeti
..-....-.. ereid
..-.....-.. ereire
..-..-.--.-..-.. erekkel
..-..-.--.-..-.. erekké
..-..-.-..-.. ereké
..-..--...--..-.. erezettel
..-..--...--..-.. erezetté
..-..--..-.. erezne
..-....-.. erire
..-.-.-.-.. erked
..-.-.-.-----.-.-.-.. ernyõkre
..-..-.. erre
..-...-...-.. erére
..-.---.-.. erõd
..-.---.-.. erõd
..-.---....---.-.. erõsöd
....-.... esdi
.....-..-..... esetés
............... eshess
...... esi
....-.... esnie
....... ess
........ esse
....--.... estbe
....-..-.... esteli
....-..-.... esteli
....-.... estes
....-..-.... estibe
....-..-..-.... estébe
....-..-.... estéi
....--.... eszi
....--.... eszi
......-...... esése
....---.... esõs
.-. ete
.-..-....-..-. etelén
.-.....-. etesen
.-........-. etessen
.-.----.-. etetõn
.-----. eton
.--. ette
.--.--..--..--.--. etyepetye
.-..-..-. etén
...-... eus
....-.... eves
....----.... evõs
.-..-. exe
..-..--..-.. fadd
..-..-.. fai
..-..-..-.. faid
..-..-.-------.-..-.. fajoké
..-..-.-..-.. fald
..-..-.-.....-.-..-.. falvaid
..-..-.-..-.. farai
..-..-.-.-.-.-.-..-.. farkald
..-..--....--..-.. fatesttel
..-..-.. fed
..-..-.. fed
..-..-..-.. fedd
..-..-..-.. fedd
..-..-...-.-...-..-.. fedetlenre
..-..-..-.. fedne
..-..-..-..-.. fedned
..-...-.. feed
..-....-.. feid
..-.....-.. feire
..-......-.. feié
..-...---...-.. fejire
..-...----...-.. fejtsd
..-..-.-.-.-..-.. feketedne
..-..-.-.-..-.. feketíti
..-..-.--.-.--.-.--.-..-.. fektetettekkel
..-...-.. fel
..-...-.. fel
..-...-.. fel
..-...-..-...-.. feldre
..-...-...-.. feled
..-...-...-.. feled
..-...-...-.. feled
..-...-...-...-.. feleded
..-...-...-..-...-...-.. felednél
..-...-...-..-...-...-.. felednél
..-...-...-...-.. feledre
..-...-...-...-.. feledre
..-...-....-...-.. feleled
..-...-....-...-.. feleleti
..-...-..-.-..-...-.. felkell
..-...-..-.-.-.-..-...-.. felkentél
..-...-..-.-..-...-.. felkél
..-...-..--.-.-.--..-...-.. felmentettél
..-...-..-.....-..-...-.. felneveled
..-...-..-...-.. felnid
..-...-..-....-..-...-.. feltevél
..-...-..-..-..-..-...-.. feltételed
..-...-..-..-..-..-...-.. feltételed
..-...-..-..-..-..-...-.. feltételre
..-...-....-...-.. felél
..-...-....-...-.. felére
..-...-....-...-.. felére
..-...-....-...-.. felére
..-...-..---..-...-.. felöleti
..-...-..---..-...-.. felõled
..-..-.. fene
..-..-.. fene
..-..-..-.. fened
..-..-.-..-.. fenned
..-..-..-.. fenre
..-..-.-.-----.-.-..-.. fenyõké
..-...-.-....-.-...-.. ferdítené
..-...-...-.. ferid
..-...-...-...-...-.. ferinél
..-...-.----.-...-.. fertõdre
..-...-.----.-...-.. fertõdre
..-.......-.. fesel
..-......-....-......-.. feslésre
..-.........-.. fessed
..-..........-.. fessel
..-.....-.-.....-.. festetheti
..-.....-.-..-.-.....-.. festeticsre
..-.....-.....-.. festheti
..-.....-.. festi
..-.....----.....-.. festõié
..-.....--...--.....-.. feszegesd
..-..-.....-..-.. fetserre
..-..--..-.. fettel
..-..-----..-.. fettõl
..-....-.. feé
..-....-.. fiai
..-....-..-....-.. fiaidé
..-....-....-.. fiaié
..-...-.-......-.-...-.. ficsúré
..-...-.. fid
..-.....-.. fiid
..-....-.. fil
..-....-...-....-...-....-.. filléreid
..-....-....-.. filé
..-...-........-...-.. finisére
..-...-.-...-.. finnel
..-...-.-...-.. finné
..-....-.. fire
..-...--.....--...-.. fitneszre
..-...--...-.. fizeti
..-...--...--...-.. fizetné
..-.....-.. fiúi
..-.....-.. fiúi
..-.-----..--.--.--..-----.-.. fogantyútól
..-.-----.-.. fogd
..-.-----.----..--..----.-----.-.. fogódzóktól
..-.----.-.. foki
..-.---.-..-.---.-.. foltjai
..-.----..-.-..----.-.. fonaltól
..-.----.-.. fond
..-.----.-.. fonti
..-.----.----.-.. fontol
..-.---...---.-.. fosol
..-.----..-..----.-.. foteltól
..-.-----------.-.. fotótól
..-..-...........-..-...........-..-.. frissítéseivel
..-..-.----.-..-.. fronté
..-..-..--.--..-..-.. fráterre
..-...-...-.. fusd
..-...------...-.. futóné
..-...-..-.-..-...-.. fékére
..-...-...-.. fél
..-...-...-.. fél
..-...-...-.. fél
..-...-...-...-.. féled
..-...-...-..-...-...-.. félnél
..-...-...-...-.. félre
..-...-...-...-.. félre
..-...-...-...-.. félre
..-...-...-....-.....-....-...-...-.. félévesnél
..-...-...-....-.....-....-...-...-.. félévesnél
..-...-...-.-.-.-...-...-.. fércnél
..-...-...-...-...-...-...-.. férfinél
..-...-...-.-...-...-.. férnél
..-.--------.-.. fóttól
..-.---.-.. föd
..-.---..-..-..---.-.. földöd
