-....-..--..--..-....- -izmusa
.-....-..-..-..-....-. lételben
.-....-..-..-..-....-. létében
.-....-..-..-..-....-. létében
.-....-....-....-. lééin
--.---..---.-- magamat
--.---..---.-- magamat
--.-.---------.-.-- majmokat
--.--.-.--.-- makettem
--.-.-....-.-.-- malikat
--.---.--.---.-- mamámat
--.--.-.-...-.-.--.-- mancikát
--.--.-.-.--.-- mankát
--.--.---.---.--.-- manóját
--.-.-...-.-.-- marikat
--.--.-- matat
--.----.-- matty
--.--.--.-- matát
--.--..-.-..--.-- matúrát
--.--..-..--.-- maximat
--.--.--.--.-- mayát
--.--..--.-.--.-.--..--.-- megegyengettem
--.--.......--.-- megehettem
--.--.......--.-- megehettem
--.--...-...-...--.-- megellettem
--.--..--.-- megettem
--.--..--.-- megettem
--.--...-..-..-...--.-- megfeddettem
--.--.......--.-- meghittem
--.--.......--.-- meghittem
--.--.--..-...-..--.--.-- megmérettettem
--.--.-.....-.--.-- megnevettem
--.--.-.--.-.--.-- megtegyem
--.--.-..-.--.-- megtermett
--.--.-.--.-- megtettem
--.--.-.--.-- megtettem
--.--.-..-..-.--.-- megtétettem
--.--.----..-..----.--.-- megtöltöttem
--.--....-.--.-..-.--.-....--.-- megvakítását
--.-..-.-.-..-.-- menekedtem
--.-..-.-..-.-- menekítem
--.-..-.-..-.-- menekített
--.-..-.-..-.-- menekített
--.-..-..-..-.-- meneteltem
--.-..-..-..-.-- meneteltem
--.-..-.-- menetem
--.-.-.-.-- menny
--.-.-.-- mentem
--.-.-.-- mentem
--.-.-.-- mentett
--.-.-.-- mentett
--.-.----.-.----.-.-- mentorokat
--.-.-.-- meny
--..-..-- merem
--..-.-..-- mernem
--..-...-.-...-..-- meríteném
--....-..-....-- mestereim
--......-......-- mesésem
--.-...--...-.-- metszetem
--.-...--...-.-- metszetett
--.-...--...-.-- metszetett
--..-- mim
--.......-- misim
--..-..-..-..-- mixerem
------.----.------ monokom
-----.-.-----.-.----- morognom
-----....----- mosató
-----...-...----- mosdató
-----........----- mosható
-----...----- mosom
-----...----- mosott
-----...----- mosott
---------- mottó
------------ mottóm
----------- mottót
-------.------- motyóm
-------..--..------- mozgatom
-------..--..------- mozgatott
-------..--..------- mozgatott
-------..--..------- mozgatóm
-------..--...--..------- mozzanatom
--..-------..-- mutogat
--.--.--.-.--.--.-- mányát
--.--.-.-.-.-.--.-- márkát
--.--.-.-.-.-.--.-- márkát
--.--.-.-.-.--.-- mártát
--.--.-- mát
--.--.---.-.--.-.---.--.-- mátkáját
--..-..-..-- ménem
--..-...-.-.-...-..-- mércém
--..-...-..-- mérem
--..-...-..-- mérem
--..-...-..-...--...-..-...-..-- mérlegelném
--..-...-.-...-..-- mérném
--..-..-..-..-- méterem
------.........------ módisítom
------.........------ módisított
--..-- mû
--..--..-- mûút
-..- na
-..--....--..- na-na
-..---.-.--...--...--.-.---..- nagyszájú
-..--..- nana
-..--..--..- nanana
-..-.-.-.-..- neccet
-....- neit
-...---...- nejeit
-..-.-....-.-....-.-..- nekiindult
-..-.-....-.-....-.-..- nekiindult
-..--.--..- nemezt
-..--..- nemit
-.....--.....- neszeit
-..- net
-..--..- nettit
-.....-......-.....- nevesíthet
-.....-.-.....- nevethet
-.....-.--.-.....- nevettethet
-...-.-...- nicea
-...-.-.-...- nikaia
-...-.-.-...- nikla
-....-....- nilit
-......- nist
-...--..--...- nizza
-.---.- noa
-.---.-.--.--.-.---.- normája
-.-.--.--.-.- nyaka
-.-.--..-.....-..--.-.- nyelvûek
-.-.--.....--.-.- nyesettek
-.-.--..........--.-.- nyissunk
-.-.--..------..--.-.- nyitottunk
-.-.--..-..--.-.- nyitunk
-.-.----------.-.- nyomort
-.-.--...-..-...--.-.- nyílnunk
-.-.--...-.-...--.-.- nyírnunk
-.-.--...-...--.-.- nyírunk
-..--.--..- nána
-...-..-...- nénit
-...-..-...-..-...- nénédet
-....-....-....- nílusa
-.----.- nóta
-.---..---..---.- nõjük
-.---..---..---.- nõjük
-.---..---..---.- nõjük
-.---.- nõt
-.---.---.- nõõt
--- o
----.-....-.---- ocskó
---......--- ohio
---....---....--- ohohó
---....--- ohó
---.---------.--- ojtottam
---.-...-.--- olaj
---.-..-.--- olyt
----.---- ontó
--------- ooo
---.-.--.--.--.-.--- ormányt
---.-..-.---.-..-.--- orroltam
---.-..-.---.-..-.--- orroltam
---....--- osj
----..-...-..---- otellót
----- ott
----- ott
-----.-....-.----- ottlikot
-------- ottó
---------- ottóm
--------- ottót
---...-.--.--.-...--- ováció
----..-..-..---- oxidot
.--..-.-.-.-..--. parkig
.--..-.-.-..--. partig
.--..-.......-..--. passaun
.--..-.-..-.-..--. pecekig
.--...-.-.-...--. percig
.--...-...--. perig
.--...-...--. perun
.--..-.--.--.-..--. petákig
.--..--.....--..--. pezsgette
.--........--. piheg
.--....-...----...-....--. pirítósban
.--.....-.....--. piusig
.--....--.--....--. piában
.--.---.--. pop
.--..-...-..--. préme
.--...-.-...--. pulp
.--...--. pun
.--..--.---.--..--. pátyig
.--...-...--. pép
.--...-..-..-...--. péterig
.--....--. píp
.--....-.-....--. pírban
.--.---.---.--. pöttye
.-..--....--..-. rabatin
.-..-.----.-..-. rajkin
.-..-..---..---..-..-. redõjén
.-..--..-. regen
.-....-....-. reiben
.-....-. rein
.-........-. reisen
.-....---....-. reitzer
.-...----...-. rejtve
.-..--..-. remin
.-...--........--...-. repesszen
.-...--...-. repin
.-.....-. reste
.-..-....--....-..-. reteszelte
.-..--.--..-. rettegen
.-..-..-. rexe
.-...-. rf
.-........-. riesen
.-...---...-. ritzen
.-.-------.-. rotor
.-...-..-...-. rufin
.-...-..--.....--..-...-. rémisztve
.-...-..--..-...-. rémítve
.-...-...-. rér
.-...-..--..-...-. réttelen
.-...--...-. rímein
.-.-----......-----.-. rózsatõn
.-.---.--.---.-. rögön
... s
....--.... sadi
....-.... sah
....-.-.... sali
....--....--.... sanszi
.... se
....-...-.... sebbe
....-.... sebe
....-......-.... sebeibe
....-.......-.... sebesbe
....-.........-.... sebesítse
....--..-....-..--.... segedelmes
.....-...-..... sellei
.....-...-..... sellei
....----.... semmii
....--.... semse
....-.-.-.... senkii
.....--..... sepse
.....-..... seres
............ siess
............. siesse
......-..-...... sietése
.......-..-....... siflis
......-..-...... sildes
.....-..... sines
.....-..... sines
......-..-...... sirass
.....-..... sitis
...----.--.----... sokkos
...--------... somos
...--------... somos
...---.-.---... soros
...------... soós
...------... soós
...... ss
............ ssss
...--... stb
...-...-... stefi
...-...-... stefi
...-...-...-...-...-...-... steinerféle
...-...-...-... steineri
...-...-... steini
...-.-...-.-... strici
...--...--... szab
...--...-...--... szedetni
...--...--... szegi
...--...--... szegi
...--...--... szegi
...--...--... szemei
...--..--.--..--... sztyepi
...--.......--... szívni
..... sí
..... sí
.......-....-....... síelési
.....-..... sínes
...---... sós
...----.-.-.----... sótartós
...---.-..-..-.---... sötétjei
.....---..... sütis
-.--.....--.- tabuk
-.-..-.- taft
-.---....---.- tagija
-.---..---.- tagja
-.--.--....--.--.- tak-tak
-.--.-.-.-.-.--.- takartak
-.--.--.- takta
-.-.-....-.-....-.-.- talicska
-.--..-..-..-..--.- tanaidnak
-.--..-..-..--.- tanainak
-.--.--..--.--.- tangák
-.--.- tant
-.--.-..-.--.- tantermet
-.--.-.--.-.-.--.-.--.- tantárgya
-.--...--.- tanuk
-.--.-.--.- tanya
-.--.-.--.--.--.--.-.--.- tanyákká
-.--..--.--..--.- tanának
-.--..--.-.-..-..-.-.--..--.- tanárainknak
-.--...-.-.-...--.- tanítalak
-.--...-..-..-...--.- tanúiddá
-.--...--.- tanúk
-.-.--..--.......--..--.-.- tapadhatunk
-.-.-......-.-.- tariska
-.-.-.-.-.- tarka
-.-.-.-.-.- tarka
-.-.-.- tart
-.-.-.- tart
-.--.- tata
-.--..-..--.- tatinak
-.------.- tatok
-.--.--.--.- taták
-.-...-.- tava
-.--..-..-..--.- taxinak
-.--..-.....-..--.- taxisnak
-.--..-.....-..--.- taxisnak
-.--..-..--..-..--.- taxiznak
-..- tea
-......- tehet
-..---..- tejit
-.-.-..-..-..-.-.- tekeredtek
-.-.-..-..---..-..-.-.- tekerjétek
-.-.-..-.-.-..-.-.- tekintenetek
-.-.-..-.-.- tekintet
-.-.-..-.-.- tekintet
-.-.-..-.-..-.-.- tekintitek
-..-...--...-...--...-..- telegépelt
-..-....-..- telelt
-..-....-..- telelt
-..-...-..- telex
-..-....-..----..-....-..- telitûzdelt
-..-..-.-.-.-..-..- telkekét
-..-..-.-.....-.-..-..- telkesekét
-..-..-.-..-..- telkét
-..-..-.-..-..- telkét
-..-..- telt
-..-..- telt
-..-..-..-..- teltét
-..-....-..- telét
-.--.- temet
-.--.--.- temettet
-.-.-.- tenk
-.-.-.-.- tenket
-.-.-..-.-.- tennetek
-.-.---.-.- tenort
-..-.-.-..- tercet
-..-..-.-....-.-..-..- terecskét
-..-...-..- terelt
-..-...-..- terelt
-..-..--..-..- teremét
-..-...--...-..- terepét
-..-..- teret
-..-.......-..- terhelt
-..-.......-..- terhelt
-..-.......-....-.......-..- terhelését
-..-...........-..- terhesét
-..-.......-..- terhét
-..-.--.-..- termetit
-..-.--.--.-..- termáit
-..-..-.---.-..-..- terrorra
-..-....-..- tervit
-..-...-..- terét
-......- tesit
-....- test
-....-....-....- testiéit
-....-...-..-...-....- testvéreit
-.-..---..---..-.- tetejûnek
-.-.--.-.- tetemek
-.-........-.- tetessek
-.-.- tetet
-.-.-.-.- tetetek
-.-.--.-.- tetettek
-.-...--...-.- tetszek
-.--...--.- tetteimet
-.--.--.- tettemet
-.--.- tettet
-.--.- tettet
-.-..-.....-..-.- tetésnek
-.-..-..--..-..-.- tetéznek
-.----.- tetõt
-.-..---..-.- tetûnek
-....-..-....- tevéit
-..-....-..- tibetit
-..-....-..- tibetit
-...-...- tiedet
-..-.----.-..- tikolt
-...-..-...- tilda
-..--..- timit
-..-.-.--.--.-.-..- tintákra
-..-.-.--.-.-..- tintára
-..-.---.-..- tinóra
-.....--..-.........-..--.....- tisztességest
-.....--..-.....-..--.....- tisztségest
-..-..-..- titelt
----.---- tojt
----.---- tojt
-----.----- tokot
------ tom
---------- tomot
--------- tomó
---------- tomót
----.--.---- topot
----.--..--..--.---- toppantó
----.--..--.---- toppot
----.-...-.---- torinót
----- tot
--------- totot
-------- totó
--------- totót
-.-..-.- trent
-.-....-.- trient
-.-.....-.- triert
-.-.-.-.-.- trnka
-.-...-..-...-.- trénert
-..--...--..- tudatú
-..-..-..- tufa
-..--......--..- tuniszt
-..-.-..- tura
-..-.-.-.-..- turca
-..-.-.-.-..- turku
-..-.-.-..- turna
-..-.-.----.-.-..- turokra
-..-.-...-.-..- turult
-..-....-..- tusra
-..--..- tutit
-.--.- tá
-.--.---...-.-...---.--.- táguljak
-.--.-.-.-.--.- tártak
-.--.--.---.--.--.- tátják
-.--.-...-..-...-.--.- távúvá
-..-...-..-...-..- télnét
-..-..-.-.--.-.-..-..- tényekét
-..-...-..- téret
-..-...-....--....-...-..- térszínét
-..-...-...-..- térét
-..-..- tét
-..-..-.-.-..-..- tétekét
-..-..-..-..- tételt
-..-..-..-..- tételt
-..-..-..-..- tételt
-..--..- tímea
---- tó
-----...-...----- tónusom
----- tót
----- tót
----- tót
--------- tótot
-..-.-..- túra
-..-.-.-..- túrna
-..-.-...-.-..- túrúra
-..-...--...-..- túszait
-..-...--...-..- túszra
-..---..- tünet
-..--..- tûit
-..---..- tûnet
-..----..- tûzt
..-......-.. uhui
..-.. ui
..-.. ui
..-.---.---.-.. ujjai
..--..-.-..--.. unalmi
..--....--.. unsz
..--.-.--.. untad
..--.-.--.. unyi
..--.-.--.. unyi
..-.-..-...-..-.-.. urastul
..-....-.. usai
..-...-.. usti
..-...-.. usti
..--.--.. utad
..--.. uti
..------.. utód
..-----.. utói
..-..-.. ué
...-.--...-.-...--.-... vadalás
...-.--.-----.--.-... vakotás
...-.--.-..-.--.-... vakítás
...-.--.-... vanni
...-.--..--.-... vanás
...-.-.-... vari
...-.-... vas
...-.-...--...-.-... vaszari
...-... vei
...-..-... vele
...-.-.-.-... venkei
...-.-.-... venni
...-..-..-... vereb
...-..-..-... veretei
...-..-... veri
...-..-......-..-... verselni
...-..-...-..-... veréb
...-..-.---.-..-... verõdni
...-....--....-... veszíts
...-.-..-.-... vetíteni
...-..--..--..-... vigadni
...-..-..-... vitele
...-..-..-... vitus
...-..--...--..-... vizezni
...-----..-----... vonatos
...-----.-.-----... vontatós
...-.--.--.-... váci
...-..-..-... véde
...-..-..-..-... védni
...-..-...-..-... vélni
...-..-..-... véni
...-..-...-..-... véreb
...-..-..-..-... vétele
...-..-..-... véts
...-...-...-... vírus
...-...-...-.....-...-...-... vírusféle
...-..--.........--..-... vízisízni
...----... või
...----... või
.--...-...-...--. weinerig
.--...-...--. weinig
.--...........--. weissig
-.-----.-.-.-----.- yorkok
--...--......--...-- zabszem
--...-....--....-...-- zenszerû
--..-..-..-- znaim
--...-...-- zrím
--......-......-- zsebeim
--.......---.......-- zsuzsim
--....-.-....-- zulut
--....---..---....-- zúzósat
.--.---..---..---.--. ágazóan
.--.--. án
.--.--.--.-.--.--.--. ángyán
.--.--.--. átette
.--.---.-.---.--. átkattan
.--.--.-...--.--...-.--.--. átlátván
.--.---.--. áttette
.--.--.--.--. átán
..-.. é
..-..-.....-..-.. ébered
..-..-.....-..-.. éberre
..-..-....-..-.. ébred
..-..-....-..-..-....-..-.. ébrenléti
..-..-.. éd
..-..-...-..-.. édened
..-..-...-..-.. édenre
..-..--..-.. égeti
..-..--..--..-.. égetned
..-..--..-.. égre
..-.......-.. éhed
..-........-.. éhel
..-...............-.. éhessel
..-...............-.. éhessé
..-............-.. éhhel
..-.......-.. éhre
..-.....-.. éire
..-.....-.. éire
..-..-.-..-.. ékel
..-..-.--.-..-.. ékkel
..-..-.--.-..-.. ékkel
..-..-.--.-..-.. ékké
..-..-.-..-.. éké
..-..-.-..-.. éké
..-..-.-..-.. ékíti
..-...-.. él
..-...-...-.. éled
..-...-......-...-.. élesdre
..-...-.......-....-.......-...-.. élesedésére
..-...-........-...-.. élesítsd
..-...-...-...-.. életeid
..-...-...-...-...-.. életeidre
..-...-...-.. életi
..-...-...-.. életi
..-...-...-...-.. életire
..-...-...-.-...-...-.. életleníti
..-...-...---..---...-...-.. életmûnél
..-...-...--...-...-.. életnél
..-...-...-..-..-...-...-.. életénél
..-...-..-...-.. élné
..-...-..-...-.. élné
..-...-...-.. élre
..-...-..-..-...-.. éltél
..-...-..-..-...-.. éltére
..-...-....-...-.. élére
..-..-..-.-..-..-.. énekeld
..-..-..-.-..-..-.. énekelne
..-...--..--...-.. éppel
..-...--..--...-.. éppé
..-...--...-.. építi
..-...-.-.-.-.-...-.. érccel
..-...-.-.-.-.-...-.. érccé
..-...-.-...-.-...-.. érdekeid
..-...-.-...-.-...-.. érdekire
..-...-.. ére
..-...-..--..-...-.. érettél
..-...-..--.......--..-...-.. érezhettél
..-...-..--..-...-.. érezné
..-...-...-.-.-...-...-.. érintenél
..-...-...-.----.-...-...-.. érintõnél
..-...-..---..-...-.. érjél
..-...-..-....-..-...-.. érlelné
..-...-.-...-.. érné
..-...-..-...-.. érrel
..-...-..-...-.. érré
..-...-.-.-...-.. értené
..-...-.-......-.-...-.. értesítené
..-...-.-...-.. értsd
..-...-.-..-..-.-...-.. értékeid
..-...-....-...-.. érveid
..-...-.--....--.-...-.. érzületi
..-...-...-.. éré
..-...-...-...-.. érére
..-...-...-.....-...-...-.. érésnél
..-......-.. ésed
..-.......-.. ésel
..-..........-.. éssel
..-.......-.. ésé
..-..-..-.. étel
..-..-..-.. étere
..-..-..-..-.. éterre
..-..-.. éti
..-..--.-.--..-.. étkezne
..-..--..-..--..-.. étteremé
..-..----..-.. étõl
..-.....-.....-.. éveié
..-.....-.....-.. évesed
..-.....-.....-.. évesre
..-.....-.....-.. évesre
..-.....-.. évi
..-.....-.. évi
..-..--..-.. ézd
..-....-.. éé
.. í
.... íi
...... íii
....... íis
..-.-..-.-.. ínnal
..-..-.. ínre
..-.----.-.. íntól
...-... íri
...-.-... írni
...-.-----.-... írottas
..... ís
..-..-...-..-.. ítéld
..-..-...-...-..-.. ítéletid
..-..-...-...-..-.. ítéleté
..-..-...-..-.. ítélne
..-..-...-..-...-..-.. ítélnéd
.....-..-..--..-..-..... ívelgetés
.....-.--.-..... ívási
..--.. íz
..--.. íz
..--..........--.. ízeihez
..--.....-.-.-.....--.. ízeinkhez
..--.......--.. ízhez
..--.......--.. ízisz
..--.......--.......--.. íziszhez
--- ó
--- ó
--- ó
---- ót
---- ót
---.-.--...--.-.--- öngúnyt
---.-...-...-...-...-.--- önéletíró
..--.. úd
..-.. úi
..-.---.-.. újai
..-.---.-.---.-.. újról
..-.-------.-.. újtól
..-.-------.-.. újtól
..--.-.--.. únyi
..--.-.--.. únyi
..-.-.-.---.-.-.-.. úrnõkre
..-.-..-..-.-.. úrral
..--.. úti
..---.. üd
..--.. üi
..--.. üi
..--.-..-.--.. ültetne
..--.-.--.. ürge
..---.. üti
..----.. ütne
..----.. üz
---..-..--- õrj
..---.. ûd
..----.. ûz
